Sum of pObligatedAmount,Column Labels,,,,,Sum of pObligatedAmount,Column Labels,,
Row Labels,FALSE,TRUE,Grand Total,,,Row Labels,FALSE,TRUE,Grand Total
-45000,,0,0,,,-45000,,0,0
0,,0,0,,,0,,0,0
1987,,1,1,,,1987,,1,1
1988,,1,1,,,1988,,1,1
1989,,1,1,,,1989,,1,1
1990,,1,1,,,1990,,1,1
1991,,1,1,,,1991,,1,1
1992,,1,1,,,1992,,1,1
1993,,1,1,,,1993,,1,1
1994,,1,1,,,1994,,1,1
1995,,1,1,,,1995,,1,1
1996,,1,1,,,1996,,1,1
1997,,1,1,,,1997,,1,1
1998,,1,1,,,1998,,1,1
1999,,1,1,,,1999,1%,99%,1
2000,2%,98%,1,,,2000,98%,2%,1
2001,4%,96%,1,,,2001,98%,2%,1
2002,4%,96%,1,,,2002,98%,2%,1
2003,7%,93%,1,,,2003,98%,2%,1
2004,14%,86%,1,,,2004,97%,3%,1
2005,23%,77%,1,,,2005,97%,3%,1
2006,39%,61%,1,,,2006,97%,3%,1
2007,86%,14%,1,,,2007,98%,2%,1
2008,89%,11%,1,,,2008,98%,2%,1
2009,91%,9%,1,,,2009,98%,2%,1
2010,90%,10%,1,,,2010,98%,2%,1
2011,91%,9%,1,,,2011,98%,2%,1
2012,90%,10%,1,,,2012,98%,2%,1
2013,90%,10%,1,,,2013,98%,2%,1
2014,91%,9%,1,,,2014,98%,2%,1
2015,91%,9%,1,,,2015,99%,1%,1
52690,,0,0,,,52690,,0,0
57955,,0,0,,,57955,,0,0
157790,,0,0,,,157790,,0,0
270000,,0,0,,,270000,,0,0
710800,,0,0,,,710800,,0,0
750000,,0,0,,,750000,,0,0
1475157.12,,0,0,,,1475157.12,,0,0
2159913.562,,0,0,,,2159913.562,,0,0
2187927.966,,0,0,,,2187927.966,,0,0
2648450.37,,0,0,,,2648450.37,,0,0
2893045.23,,0,0,,,2893045.23,,0,0
3280295.63,,0,0,,,3280295.63,,0,0
NA,0,1,1,,,NA,1,0,1
Grand Total,9.032513819,20.96748618,30,,,Grand Total,16.67177247,13.32822753,30
